"filename", "language", "TypeScript", "TypeScript React", "SCSS", "CSS", "GraphQL", "JSON", "comment", "blank", "total"
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosHidden.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 4, 14
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosInput.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 8, 76
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosProps.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosTermsLabel.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 1, 5, 23
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/helpers.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 17, 89
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/KratosUI.tsx", "TypeScript React", 0, 205, 0, 0, 0, 0, 1, 25, 231
"/home/nsmyth/Dev/Alkemio/client-web/src/components/AuthenticationBackdrop.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/nsmyth/Dev/Alkemio/client-web/src/components/BackdropWithMessage.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 7, 50
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/ChallengeCommunitySection.tsx", "TypeScript React", 0, 35, 0, 0, 0, 0, 0, 5, 40
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/ChallengePopUp.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 5, 30
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/OpportunityCard.tsx", "TypeScript React", 0, 126, 0, 0, 0, 0, 0, 6, 132
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/CommunitySection.tsx", "TypeScript React", 0, 118, 0, 0, 0, 0, 0, 8, 126
